c1_balance,c1_shares,c2_balance,c2_shares,s_shares,s_tau,s_valuation
190.41067342140508,0.0,101.55962426204671,18.398434012382797,18.398434012382797,0.01,97.0297023165482
190.41067342140508,0.0,101.55962426204671,18.398434012382797,18.398434012382797,0.01,97.0297023165482
190.41067342140508,0.0,101.55962393190356,18.398434074363582,18.398434074363582,0.01,97.02970264669135
190.41067342140508,0.0,101.5596237684827,18.39843410504407,18.39843410504407,0.01,97.02970281011221
190.41067342140508,0.0,101.55962368758937,18.398434120230913,18.398434120230913,0.01,97.02970289100554
190.41067342140508,0.0,101.55962368758937,18.398434120230913,18.398434120230913,0.01,97.02970289100554
190.41067342140508,0.0,101.55962364754717,18.3984341277484,18.3984341277484,0.01,97.02970293104774
190.41067342140508,0.0,101.55962362772628,18.398434131469557,18.398434131469557,0.01,97.02970295086863
190.41067342140508,0.0,101.55962361791494,18.398434133311532,18.398434133311532,0.01,97.02970296067997
190.41067342140508,0.0,101.55962361305832,18.39843413422331,18.39843413422331,0.01,97.02970296553659
190.41067342140508,0.0,101.55962361305832,18.39843413422331,18.39843413422331,0.01,97.02970296553659
190.41067342140508,0.0,101.55962361305832,18.39843413422331,18.39843413422331,0.01,97.02970296553659
190.41067342140508,0.0,101.5596236106543,18.39843413467464,18.39843413467464,0.01,97.02970296794061
190.41067342140508,0.0,101.5596236106543,18.39843413467464,18.39843413467464,0.01,97.02970296794061
190.41067342140508,0.0,101.55962360946431,18.39843413489805,18.39843413489805,0.01,97.0297029691306
190.41067342140508,0.0,101.55962360946431,18.39843413489805,18.39843413489805,0.01,97.0297029691306
190.41067342140508,0.0,101.55962360887526,18.39843413500864,18.39843413500864,0.01,97.02970296971965
190.41067342140508,0.0,101.55962360858368,18.39843413506338,18.39843413506338,0.01,97.02970297001123
190.41067342140508,0.0,101.55962360858368,18.39843413506338,18.39843413506338,0.01,97.02970297001123
190.41067342140508,0.0,101.55962360858368,18.39843413506338,18.39843413506338,0.01,97.02970297001123
190.41067342140508,0.0,101.55962360843935,18.398434135090476,18.398434135090476,0.01,97.02970297015555
190.41067342140508,0.0,101.55962360843935,18.398434135090476,18.398434135090476,0.01,97.02970297015555
190.41067342140508,0.0,101.55962360843935,18.398434135090476,18.398434135090476,0.01,97.02970297015555
190.41067342140508,0.0,101.55962360843935,18.398434135090476,18.398434135090476,0.01,97.02970297015555
190.41067342140508,0.0,101.55962360843935,18.398434135090476,18.398434135090476,0.01,97.02970297015555
190.41067342140508,0.0,101.55962360843935,18.398434135090476,18.398434135090476,0.01,97.02970297015555
190.41067342140508,0.0,101.5596236083679,18.39843413510389,18.39843413510389,0.01,97.029702970227
190.41067342140508,0.0,101.5596236083679,18.39843413510389,18.39843413510389,0.01,97.029702970227
190.41067342140508,0.0,101.5596236083679,18.39843413510389,18.39843413510389,0.01,97.029702970227
190.41067342140508,0.0,101.5596236083679,18.39843413510389,18.39843413510389,0.01,97.029702970227
190.41067342140508,0.0,101.5596236083679,18.39843413510389,18.39843413510389,0.01,97.029702970227
190.41067342140508,0.0,101.55962360833254,18.39843413511053,18.39843413511053,0.01,97.02970297026236
190.41067342140508,0.0,101.55962360833254,18.39843413511053,18.39843413511053,0.01,97.02970297026236
190.41067342140508,0.0,101.55962360833254,18.39843413511053,18.39843413511053,0.01,97.02970297026236
190.41067342140508,0.0,101.55962360831504,18.398434135113817,18.398434135113817,0.01,97.02970297027987
190.41067342140508,0.0,101.55962360831504,18.398434135113817,18.398434135113817,0.01,97.02970297027987
